animal_id,found_location
A677471,11603 Gungrove Circle in Austin (TX)
A758257,Austin (TX)
A763536,Austin (TX)
A736729,Loyola Ln And Sandshof Dr in Austin (TX)
A689627,3755 B S Cap Texas Hwy in Austin (TX)
A674489,Austin (TX)
A754545,Thaxton Road in Austin (TX)
A707794,Tammye in Travis (TX)
A680679,Rundberg And N Lamar in Austin (TX)
A734013,21312 Greenridge Terrace in Austin (TX)
A670075,1101 E Parmer Ln #207 in Travis (TX)
A720698,5102 Two Iron St in Austin (TX)
A718918,Austin (TX)
A730594,Pleasant Valley And Webberville in Austin (TX)
A735212,8403 Los Ranchos Dr in Austin (TX)
A690923,5710 Reicher Dr in Austin (TX)
A704918,8308 Flaxen Dr in Austin (TX)
A713011,1139 Ebert in Austin (TX)
A680733,Hwy 290 And Fm 973 in Manor (TX)
A706316,10004 Shively Lane in Austin (TX)
A698345,2504 New York in Austin (TX)
A683086,11313 Blairwood in Austin (TX)
A763708,Austin (TX)
A735718,6207 Dorchester Dr in Austin (TX)
A747800,Travis (TX)
A754988,5801 Signal Point Blvd in Austin (TX)
A712711,Point N Dr & Arctic Ct in Austin (TX)
A623101,7404 Inspiration in Austin (TX)
A645345,Austin (TX)
A741873,2110 Thrasher Lane in Austin (TX)
A669245,Austin (TX)
A709263,600 W William Cannon Dr in Austin (TX)
A684783,2100 Barton Springs in Austin (TX)
A717905,11717 Schriber Rd in Travis (TX)
A683044,Scofield And Meehan in Austin (TX)
A693348,183/Mlk in Austin (TX)
A762273,14906 Zurick Drive in Del Valle (TX)
A700008,2205 Voyageurs in Austin (TX)
A700807,11106 Laurel Creek Cir in Austin (TX)
A712942,Outside Jurisdiction
A693537,3600 Abbate in Austin (TX)
A764257,Del Valle (TX)
A751382,1156 W Cesar Chavez St in Austin (TX)
A743396,E 12Th St And Springdale Rd in Austin (TX)
A723561,1006 Banister Ln in Austin (TX)
A756307,Austin (TX)
A663798,Austin (TX)
A667732,Fleetridge in Austin (TX)
A712376,8803 Georgian Dr in Austin (TX)
A702907,8714 Fm 812 in Austin (TX)
A760532,Leander (TX)
A675336,Iwanna Dr in Del Valle (TX)
A699932,183/Mlk in Austin (TX)
A726125,Austin (TX)
A742589,13104 Johnson Rd in Manor (TX)
A704995,Austin (TX)
A620780,Austin (TX)
A670612,4100 Westbank Dr in Austin (TX)
A715198,Found At Academy in Austin (TX)
A754361,812 And Doyle in Travis (TX)
A673091,Travis (TX)
A760238,2500 Chaparral Trail in Austin (TX)
A704893,7108 Northeast Dr in Austin (TX)
A739497,1515 Wickersham Ln in Austin (TX)
A730690,1806 Jj Seabrook Drive in Austin (TX)
A747907,1881 Grove Blvd in Austin (TX)
A531549,Manchaca Road And Berkley Avenue in Austin (TX)
A704345,2109 Jesse Owens Dr in Austin (TX)
A716823,Avery Island And La Salle Dr in Austin (TX)
A716399,12317 Palm Harbor Way in Travis (TX)
A627554,9909 North Lamar in Austin (TX)
A686117,908 N Bend Dr in Austin (TX)
A734336,245 W 3Rd St in Austin (TX)
A766359,Austin (TX)
A612925,1608 Garden St in Austin (TX)
A728757,5812 Malarkey Rd in Del Valle (TX)
A745492,12201 Von Quintus Rd in Austin (TX)
A722762,1St St N And Main St in Pflugerville (TX)
A678093,Jonestown (TX)
A743612,Austin (TX)
A669543,Austin (TX)
A757754,Outside Jurisdiction
A720975,1941 Gaston Place Dr in Austin (TX)
A764465,11425 Ptarmigan Dr in Austin (TX)
A763702,Ferguson Lane And Brown Street in Austin (TX)
A691541,1002 Lott in Austin (TX)
A731435,Blue Goose Rd And Giles Lna in Austin (TX)
A644228,Austin (TX)
A700948,8105 Linden in Travis (TX)
A751106,Travis (TX)
A682485,1601 E Slaughter Ln in Austin (TX)
A689298,Convict Hill Rd & Poncha Pass in Austin (TX)
A617900,Cumberland Rd And Congress Ave in Austin (TX)
A742459,9100 Fm 812 Road in Travis (TX)
A696283,Austin (TX)
A716675,5106 Village Square in Austin (TX)
A721376,Travis (TX)
A679273,9607 Hansford Dr in Austin (TX)
A681367,1722 Colony Creek Dr in Austin (TX)
A666321,12225 U.S. 290 in Travis (TX)
A674778,Austin (TX)
A704610,5701 Johnny Morris Rd in Austin (TX)
A736521,Austin (TX)
A682180,17305 Pearce Ln in Del Valle (TX)
A615086,Austin (TX)
A746688,1800 E Stassney Ln in Austin (TX)
A677133,Fairway St & Club Way Dr in Austin (TX)
A724311,Austin (TX)
A757589,5208 Diwa Circle in Del Valle (TX)
A732078,1170 Us 183 S in Mustang Ridge (TX)
A749986,Travis (TX)
A620803,5407 Viewpoint Drive in Austin (TX)
A747767,Austin (TX)
A758131,Outside Jurisdiction
A677996,Webberville Rd And Hwy 130 in Austin (TX)
A744478,Colton & 183 in Travis (TX)
A760970,Outside Jurisdiction
A687062,6806 Branchwood Dr in Austin (TX)
A666270,Austin (TX)
A759346,2303 Alta Vista in Austin (TX)
A711537,Silent Harbor Loop And Hidden Harbor Dr in Pflugerville (TX)
A737662,700 Middle Ln in Austin (TX)
A746002,Travis (TX)
A692544,11814 Indianhead Dr in Austin (TX)
A688996,124 W Anderson Ln in Austin (TX)
A731768,9707 Point Vista Pl in Austin (TX)
A672005,Austin (TX)
A727718,1801 Fortview Rd in Austin (TX)
