intake_year,animal_type,breed,count
2013,Dog,Vizsla,1
2013,Dog,Miniature Pinscher/Australian Cattle Dog,1
2013,Dog,Vizsla/Dachshund,1
2013,Dog,Catahoula/Boxer,1
2013,Dog,Weimaraner/Labrador Retriever,1
2013,Dog,Catahoula/Chow Chow,1
2013,Dog,West Highland Mix,1
2013,Dog,Miniature Poodle/Labrador Retriever,1
2013,Dog,Whippet/Beagle,1
2013,Dog,Miniature Poodle/Maltese,1
2013,Dog,Dachshund/Cardigan Welsh Corgi,1
2013,Dog,Miniature Poodle/Yorkshire Terrier,1
2013,Dog,Yorkshire Terrier,1
2013,Dog,Beagle/Dachshund,1
2013,Dog,Yorkshire Terrier/Border Terrier,1
2013,Dog,Catahoula/Mastiff,1
2013,Dog,Australian Kelpie/Miniature Pinscher,1
2013,Dog,Catahoula/Pit Bull,1
2013,Dog,Dachshund/German Pinscher,1
2013,Dog,Catahoula/Pointer,1
2013,Dog,Newfoundland/Australian Cattle Dog,1
2013,Dog,German Shepherd/Black/Tan Hound,1
2014,Cat,Domestic Shorthair Mix,5443
2014,Cat,Domestic Medium Hair Mix,513
2014,Cat,Domestic Longhair Mix,334
2014,Cat,Siamese Mix,230
2014,Cat,Domestic Shorthair,80
2014,Cat,Snowshoe Mix,60
2014,Cat,Manx Mix,41
2014,Cat,Maine Coon Mix,36
2014,Cat,Russian Blue Mix,29
2014,Cat,Domestic Medium Hair,27
2014,Cat,Siamese,18
2014,Cat,Domestic Longhair,16
2014,Cat,Angora Mix,11
2014,Cat,Himalayan Mix,11
2014,Cat,Ragdoll Mix,10
2014,Cat,Japanese Bobtail Mix,7
2014,Cat,Snowshoe,5
2014,Cat,Tonkinese Mix,5
2014,Cat,Persian Mix,4
2014,Cat,Cymric Mix,4
2014,Cat,American Shorthair Mix,4
2014,Cat,Maine Coon,3
2014,Cat,Balinese Mix,3
2014,Cat,Ragdoll,2
2014,Cat,Himalayan,2
2014,Cat,Bengal Mix,2
2014,Cat,Russian Blue,2
2014,Cat,Pixiebob Shorthair Mix,2
2014,Cat,Devon Rex,2
2014,Cat,Bombay Mix,2
2014,Cat,Domestic Shorthair/Siamese,2
2014,Cat,Persian,2
2014,Cat,British Shorthair Mix,2
2014,Cat,Domestic Longhair/Rex,2
2014,Cat,Norwegian Forest Cat Mix,2
2014,Cat,Manx/Domestic Shorthair,2
2014,Cat,Siamese/Angora,1
2014,Cat,Snowshoe/Domestic Shorthair,1
2014,Cat,Domestic Medium Hair/Siamese,1
2014,Cat,Manx/Domestic Longhair,1
2014,Cat,Sphynx,1
2014,Cat,British Shorthair,1
2014,Cat,Siamese/Domestic Shorthair,1
2014,Cat,Domestic Longhair/Russian Blue,1
2014,Cat,Chartreux Mix,1
2014,Cat,Domestic Shorthair/British Shorthair,1
2014,Cat,Snowshoe/Ragdoll,1
2014,Cat,Devon Rex Mix,1
2014,Cat,Exotic Shorthair Mix,1
2014,Cat,Angora/Persian,1
2014,Cat,Munchkin Shorthair Mix,1
2014,Dog,Pit Bull Mix,1374
2014,Dog,Chihuahua Shorthair Mix,1084
2014,Dog,Labrador Retriever Mix,815
2014,Dog,German Shepherd Mix,372
2014,Dog,Australian Cattle Dog Mix,245
2014,Dog,Dachshund Mix,203
2014,Dog,Border Collie Mix,152
2014,Dog,Miniature Poodle Mix,148
2014,Dog,Boxer Mix,144
2014,Dog,Catahoula Mix,123
2014,Dog,Jack Russell Terrier Mix,113
2014,Dog,Rat Terrier Mix,106
2014,Dog,Australian Shepherd Mix,106
2014,Dog,Yorkshire Terrier Mix,105
2014,Dog,Beagle Mix,94
2014,Dog,Siberian Husky Mix,89
2014,Dog,Miniature Schnauzer Mix,86
2014,Dog,Chihuahua Shorthair/Dachshund,86
2014,Dog,Australian Kelpie Mix,82
2014,Dog,American Bulldog Mix,79
2014,Dog,Rottweiler Mix,77
2014,Dog,American Staffordshire Terrier Mix,70
2014,Dog,Chihuahua Longhair Mix,66
2014,Dog,Cairn Terrier Mix,64
2014,Dog,Labrador Retriever,63
2014,Dog,Shih Tzu Mix,61
2014,Dog,Pointer Mix,61
2014,Dog,Great Pyrenees Mix,61
2014,Dog,Staffordshire Mix,56
2014,Dog,Labrador Retriever/Pit Bull,50
2014,Dog,Plott Hound Mix,49
2014,Dog,Dachshund/Chihuahua Shorthair,49
2014,Dog,Golden Retriever Mix,47
2014,Dog,Dachshund,47
2014,Dog,Chihuahua Shorthair,47
2014,Dog,Anatol Shepherd Mix,47
2014,Dog,Pit Bull,46
2014,Dog,German Shepherd/Labrador Retriever,46
2014,Dog,Miniature Pinscher Mix,46
2014,Dog,American Pit Bull Terrier Mix,43
2014,Dog,Black Mouth Cur Mix,40
2014,Dog,German Shepherd,38
2014,Dog,Labrador Retriever/German Shepherd,36
2014,Dog,Cardigan Welsh Corgi Mix,35
2014,Dog,Chow Chow Mix,35
2014,Dog,Shih Tzu,32
2014,Dog,Queensland Heeler Mix,32
2014,Dog,Manchester Terrier Mix,32
2014,Dog,Miniature Schnauzer/Miniature Poodle,32
2014,Dog,Boston Terrier Mix,32
2014,Dog,Labrador Retriever/Border Collie,31
2014,Dog,Maltese Mix,30
2014,Dog,Cocker Spaniel Mix,30
2014,Dog,Pomeranian Mix,29
2014,Dog,Doberman Pinsch Mix,29
2014,Dog,Australian Cattle Dog/Labrador Retriever,29
2014,Dog,Carolina Dog Mix,27
2014,Dog,Border Terrier Mix,27
2014,Dog,Maltese,26
2014,Dog,Flat Coat Retriever Mix,26
2014,Dog,Border Collie/Labrador Retriever,25
2014,Dog,Pug Mix,24
2014,Dog,Chihuahua Shorthair/Pug,23
2014,Dog,Chihuahua Shorthair/Jack Russell Terrier,23
